units,activation,dropout,batchnorm,reward
8,selu,True,False,69.47600245475769
128,selu,True,False,69.47600245475769
128,relu,True,False,69.47600245475769
256,swish,False,False,47.04900085926056
64,swish,False,False,47.04900085926056
8,relu,False,False,47.04900085926056
512,swish,False,False,47.04900085926056
512,tanh,False,False,47.04900085926056
256,sigmoid,False,False,52.95100212097168
128,relu,False,False,52.95100212097168
32,tanh,False,False,52.95100212097168
64,swish,False,False,52.95100212097168
64,relu,False,False,52.95100212097168
128,swish,False,False,71.45400047302246
16,elu,False,False,71.45400047302246
32,selu,False,False,71.45400047302246
64,relu,False,False,71.45400047302246
8,relu,False,False,71.45400047302246
32,relu,True,True,69.62299942970276
128,sigmoid,True,True,69.62299942970276
128,swish,True,False,61.76199913024902
128,relu,True,False,61.76199913024902
128,tanh,True,False,61.76199913024902
128,relu,True,False,61.76199913024902
512,sigmoid,True,False,52.95100212097168
128,swish,True,False,52.95100212097168
64,relu,True,False,52.95100212097168
256,swish,False,False,66.19099974632263
8,selu,False,False,66.19099974632263
16,tanh,False,False,66.19099974632263
32,elu,False,False,66.19099974632263
16,swish,False,False,66.19099974632263
256,elu,True,False,52.95100212097168
64,swish,True,False,52.95100212097168
512,tanh,True,False,52.95100212097168
8,swish,True,False,52.95100212097168
256,elu,False,False,62.93100118637085
32,tanh,False,False,62.93100118637085
8,elu,False,False,62.93100118637085
128,tanh,False,False,62.93100118637085
32,sigmoid,False,False,62.93100118637085
32,selu,True,False,69.50500011444092
64,swish,True,False,69.50500011444092
64,sigmoid,True,False,69.50500011444092
64,selu,False,False,72.02200293540955
16,swish,False,False,72.02200293540955
256,swish,False,False,72.02200293540955
8,elu,False,False,72.02200293540955
8,relu,False,False,72.02200293540955
16,swish,True,False,69.16300058364868
16,tanh,True,False,69.16300058364868
16,relu,True,False,69.16300058364868
8,relu,True,False,69.16300058364868
512,tanh,True,False,62.307000160217285
8,selu,True,False,62.307000160217285
8,tanh,True,False,62.307000160217285
128,swish,True,False,62.307000160217285
256,tanh,False,False,67.73899793624878
8,tanh,False,False,67.73899793624878
64,tanh,False,False,67.73899793624878
32,tanh,False,False,67.73899793624878
512,swish,False,False,67.73899793624878
128,selu,False,False,52.95100212097168
256,elu,False,False,52.95100212097168
256,selu,False,False,52.95100212097168
64,selu,False,False,52.95100212097168
512,sigmoid,False,False,52.95100212097168
512,sigmoid,False,False,52.95100212097168
16,selu,False,False,52.95100212097168
32,swish,False,False,52.95100212097168
64,selu,False,False,52.95100212097168
512,swish,False,False,52.95100212097168
32,sigmoid,False,False,72.87700176239014
8,elu,False,False,72.87700176239014
8,sigmoid,False,False,72.87700176239014
512,sigmoid,False,False,72.87700176239014
32,swish,False,False,72.87700176239014
128,swish,False,False,61.371999979019165
64,selu,False,False,61.371999979019165
8,selu,False,False,61.371999979019165
32,sigmoid,False,False,61.371999979019165
512,swish,False,False,61.371999979019165
128,relu,False,True,68.43199729919434
8,selu,False,True,68.43199729919434
16,tanh,False,True,68.43199729919434
32,selu,False,True,68.43199729919434
512,tanh,False,False,70.02599835395813
32,relu,False,False,70.02599835395813
32,selu,False,False,70.02599835395813
64,swish,False,False,70.02599835395813
32,elu,False,False,70.02599835395813
128,tanh,True,False,72.06599712371826
32,sigmoid,True,False,72.06599712371826
32,sigmoid,True,False,72.06599712371826
8,relu,True,False,72.06599712371826
128,elu,False,False,69.16800141334534
256,tanh,False,False,69.16800141334534
8,sigmoid,False,False,69.16800141334534
16,selu,False,False,69.16800141334534
16,sigmoid,False,False,69.16800141334534
16,swish,False,False,47.04900085926056
8,swish,False,False,47.04900085926056
32,tanh,False,False,47.04900085926056
256,selu,False,False,47.04900085926056
512,tanh,False,False,47.04900085926056
128,tanh,False,False,52.95100212097168
8,relu,False,False,52.95100212097168
512,sigmoid,False,False,52.95100212097168
16,tanh,False,False,52.95100212097168
8,relu,False,False,52.95100212097168
16,elu,True,False,72.60800004005432
128,selu,True,False,72.60800004005432
16,elu,True,False,72.60800004005432
512,selu,True,False,52.95100212097168
256,swish,True,False,52.95100212097168
16,tanh,False,False,71.1359977722168
32,swish,False,False,71.1359977722168
16,tanh,False,False,71.1359977722168
512,elu,False,False,71.1359977722168
64,swish,False,False,71.1359977722168
16,relu,False,False,71.82700037956238
256,relu,False,False,71.82700037956238
512,elu,True,True,71.05600237846375
64,relu,True,True,71.05600237846375
512,swish,True,True,71.05600237846375
512,swish,True,False,70.26200294494629
128,sigmoid,True,False,70.26200294494629
8,sigmoid,True,False,70.26200294494629
32,sigmoid,True,False,70.26200294494629
16,tanh,True,False,71.49099707603455
16,tanh,True,False,71.49099707603455
16,tanh,True,False,71.49099707603455
16,tanh,True,False,70.66799998283386
16,tanh,True,False,70.66799998283386
8,tanh,True,False,70.66799998283386
8,selu,True,False,70.66799998283386
16,tanh,False,False,47.04900085926056
128,selu,False,False,47.04900085926056
256,relu,False,False,47.04900085926056
32,tanh,False,False,47.04900085926056
512,elu,False,False,47.04900085926056
16,tanh,False,False,60.395997762680054
8,tanh,False,False,60.395997762680054
128,tanh,False,False,60.395997762680054
64,selu,False,False,60.395997762680054
256,selu,False,False,60.395997762680054
8,swish,True,False,69.61299777030945
32,swish,True,False,69.61299777030945
256,relu,True,False,69.61299777030945
256,sigmoid,True,False,69.61299777030945
16,tanh,False,False,71.48699760437012
64,sigmoid,False,False,71.48699760437012
16,tanh,False,False,71.48699760437012
8,elu,False,False,71.48699760437012
256,elu,False,False,71.48699760437012
512,sigmoid,True,False,70.26699781417847
128,swish,True,False,70.26699781417847
8,elu,True,False,70.26699781417847
8,sigmoid,False,False,70.92700004577637
16,tanh,False,False,70.92700004577637
16,tanh,False,False,70.92700004577637
64,elu,False,False,70.92700004577637
512,swish,False,False,70.92700004577637
32,relu,False,False,60.39299964904785
8,swish,False,False,60.39299964904785
128,elu,False,False,60.39299964904785
64,tanh,False,False,60.39299964904785
128,sigmoid,False,False,60.39299964904785
128,selu,False,False,69.99300122261047
32,tanh,False,False,69.99300122261047
8,swish,False,False,69.99300122261047
64,sigmoid,False,False,52.95100212097168
256,elu,False,False,52.95100212097168
256,swish,False,False,52.95100212097168
16,tanh,False,False,52.95100212097168
16,tanh,False,False,52.95100212097168
256,selu,True,False,61.2060010433197
512,elu,True,False,61.2060010433197
128,sigmoid,True,False,61.2060010433197
32,tanh,False,False,52.95100212097168
8,swish,False,False,52.95100212097168
256,swish,False,False,52.95100212097168
512,selu,False,False,52.95100212097168
16,swish,False,False,52.95100212097168
32,tanh,False,False,71.82599902153015
16,sigmoid,False,False,71.82599902153015
8,swish,False,False,71.82599902153015
128,tanh,False,False,71.82599902153015
32,swish,False,False,71.82599902153015
512,swish,True,False,69.25100088119507
128,sigmoid,True,False,69.25100088119507
16,elu,True,False,69.25100088119507
256,elu,True,False,69.25100088119507
128,swish,False,False,52.95100212097168
32,elu,False,False,52.95100212097168
16,swish,False,False,52.95100212097168
16,tanh,False,False,52.95100212097168
16,tanh,False,False,52.95100212097168
8,tanh,False,False,70.9280014038086
32,swish,False,False,70.9280014038086
32,swish,False,False,70.9280014038086
8,swish,False,False,70.9280014038086
512,tanh,False,False,70.9280014038086
256,swish,True,False,70.51399946212769
16,sigmoid,True,False,70.51399946212769
16,tanh,True,False,70.51399946212769
256,elu,True,False,70.51399946212769
32,sigmoid,True,False,71.45799994468689
32,tanh,True,False,71.45799994468689
32,elu,True,False,71.45799994468689
16,sigmoid,True,False,71.45799994468689
8,tanh,False,False,64.69699740409851
8,swish,False,False,64.69699740409851
128,tanh,False,False,64.69699740409851
16,tanh,False,False,64.69699740409851
256,sigmoid,False,False,64.69699740409851
16,tanh,True,False,69.95599865913391
512,sigmoid,True,False,69.95599865913391
16,sigmoid,True,False,69.95599865913391
256,selu,True,False,60.1610004901886
128,elu,True,False,60.1610004901886
256,tanh,True,False,60.1610004901886
128,elu,False,False,71.0290014743805
32,sigmoid,False,False,71.0290014743805
8,swish,False,False,71.0290014743805
128,tanh,False,False,70.3790009021759
16,tanh,False,False,71.72200083732605
8,swish,False,False,71.72200083732605
16,sigmoid,False,False,71.72200083732605
8,relu,False,False,71.72200083732605
128,sigmoid,False,False,71.72200083732605
16,tanh,False,False,70.78199982643127
16,sigmoid,True,False,47.04900085926056
256,selu,True,False,47.04900085926056
32,sigmoid,True,False,47.04900085926056
128,tanh,True,False,47.04900085926056
16,tanh,False,False,71.76700234413147
8,sigmoid,False,False,71.76700234413147
8,swish,False,False,71.76700234413147
8,swish,False,False,71.76700234413147
16,tanh,False,False,71.76700234413147
512,sigmoid,False,False,47.04900085926056
64,swish,False,False,47.04900085926056
32,relu,False,False,47.04900085926056
16,tanh,False,False,47.04900085926056
16,tanh,False,False,47.04900085926056
64,relu,True,False,61.14199757575989
8,selu,True,False,61.14199757575989
32,relu,True,False,61.14199757575989
256,relu,False,False,69.46499943733215
32,tanh,False,False,69.46499943733215
16,swish,False,False,69.46499943733215
16,tanh,False,False,69.46499943733215
16,tanh,False,False,69.46499943733215
32,selu,False,False,60.385000705718994
8,swish,False,False,60.385000705718994
64,swish,False,False,60.385000705718994
16,tanh,False,False,60.385000705718994
256,sigmoid,False,False,60.385000705718994
16,tanh,True,False,70.95500230789185
512,sigmoid,True,False,70.95500230789185
64,relu,True,False,70.95500230789185
128,relu,True,False,70.95500230789185
16,tanh,False,False,71.49999737739563
16,tanh,False,False,71.49999737739563
8,sigmoid,False,False,71.49999737739563
32,selu,False,False,71.49999737739563
16,tanh,False,False,71.49999737739563
16,tanh,False,True,71.38400077819824
16,tanh,False,True,71.38400077819824
64,swish,False,True,71.38400077819824
128,selu,False,True,71.38400077819824
256,tanh,False,False,70.36799788475037
16,elu,False,False,70.36799788475037
16,relu,False,False,70.36799788475037
8,relu,False,False,70.36799788475037
512,tanh,False,False,70.36799788475037
128,relu,False,False,71.49199843406677
8,elu,False,False,71.49199843406677
64,sigmoid,False,False,71.49199843406677
16,tanh,False,False,71.49199843406677
256,tanh,False,False,71.49199843406677
16,tanh,False,False,71.1679995059967
16,tanh,False,False,71.1679995059967
32,relu,False,False,71.1679995059967
8,tanh,False,False,71.1679995059967
16,tanh,False,False,71.1679995059967
32,selu,False,False,58.19399952888489
16,selu,False,False,58.19399952888489
32,elu,False,False,58.19399952888489
16,tanh,False,False,58.19399952888489
32,relu,False,False,58.19399952888489
8,swish,False,False,62.78799772262573
8,swish,False,False,62.78799772262573
32,selu,False,False,62.78799772262573
32,tanh,False,False,62.78799772262573
16,tanh,False,False,62.78799772262573
16,tanh,False,True,71.60699963569641
16,tanh,False,True,71.60699963569641
256,swish,False,True,71.60699963569641
512,elu,False,True,71.60699963569641
16,tanh,False,False,60.18099784851074
64,relu,False,False,60.18099784851074
128,swish,False,False,60.18099784851074
16,tanh,False,False,60.18099784851074
64,selu,False,False,60.18099784851074
16,tanh,False,False,61.619001626968384
16,tanh,False,False,61.619001626968384
512,tanh,False,False,61.619001626968384
16,tanh,False,False,61.619001626968384
64,relu,False,False,61.619001626968384
16,tanh,False,False,52.95100212097168
64,relu,False,False,52.95100212097168
512,tanh,False,False,52.95100212097168
16,tanh,False,False,52.95100212097168
32,selu,False,False,52.95100212097168
512,elu,True,False,52.95100212097168
64,swish,True,False,52.95100212097168
