arch_id,layer_num,layer_type,units,activation,dropout_rate,reward,accuracy,complexity,complexity_epochs,completed,termination_reason
0,1,dense,16.0,swish,,62.655362816581494,53.31973433494568,94.69185781194716,96.0,True,stop
0,2,dropout,,,0.5,62.655362816581494,53.31973433494568,94.69185781194716,96.0,True,stop
0,3,dense,8.0,relu,,62.655362816581494,53.31973433494568,94.69185781194716,96.0,True,stop
0,4,dense,512.0,swish,,62.655362816581494,53.31973433494568,94.69185781194716,96.0,True,stop
0,5,dense,8.0,selu,,62.655362816581494,53.31973433494568,94.69185781194716,96.0,True,stop
0,6,dense,16.0,elu,,62.655362816581494,53.31973433494568,94.69185781194716,96.0,True,stop
0,7,dropout,,,0.0,62.655362816581494,53.31973433494568,94.69185781194716,96.0,True,stop
0,8,dense,64.0,relu,,62.655362816581494,53.31973433494568,94.69185781194716,96.0,True,stop
0,9,dense,128.0,swish,,62.655362816581494,53.31973433494568,94.69185781194716,96.0,True,stop
0,10,dense,512.0,sigmoid,,62.655362816581494,53.31973433494568,94.69185781194716,96.0,True,stop
0,11,dense,64.0,relu,,62.655362816581494,53.31973433494568,94.69185781194716,96.0,True,stop
0,12,dense,128.0,elu,,62.655362816581494,53.31973433494568,94.69185781194716,96.0,True,stop
1,1,dense,16.0,swish,,0.0,,,,False,incomplete
1,2,dropout,,,0.5,0.0,,,,False,incomplete
1,3,dense,8.0,relu,,0.0,,,,False,incomplete
1,4,dense,512.0,swish,,0.0,,,,False,incomplete
1,5,dense,8.0,selu,,0.0,,,,False,incomplete
1,6,dense,16.0,elu,,0.0,,,,False,incomplete
1,7,dropout,,,0.0,0.0,,,,False,incomplete
1,8,dense,64.0,relu,,0.0,,,,False,incomplete
1,9,dense,128.0,swish,,0.0,,,,False,incomplete
1,10,dense,512.0,sigmoid,,0.0,,,,False,incomplete
1,11,dense,64.0,relu,,0.0,,,,False,incomplete
1,12,dense,128.0,elu,,0.0,,,,False,incomplete
2,1,dense,64.0,elu,,62.65511324708383,53.31973433494568,91.57223909120935,96.0,True,max_dense
2,2,batchnorm,,,,62.65511324708383,53.31973433494568,91.57223909120935,96.0,True,max_dense
2,3,dense,64.0,swish,,62.65511324708383,53.31973433494568,91.57223909120935,96.0,True,max_dense
2,4,dense,512.0,tanh,,62.65511324708383,53.31973433494568,91.57223909120935,96.0,True,max_dense
2,5,dense,256.0,relu,,62.65511324708383,53.31973433494568,91.57223909120935,96.0,True,max_dense
