arch_id,layer_num,layer_type,units,activation,dropout_rate,reward,accuracy,complexity,completed,termination_reason
0,1,dense,8.0,swish,,47.52024670474873,53.31973433494568,4.675141967023815,True,max_dense
0,2,dense,256.0,swish,,47.52024670474873,53.31973433494568,4.675141967023815,True,max_dense
0,3,dense,32.0,selu,,47.52024670474873,53.31973433494568,4.675141967023815,True,max_dense
0,4,dense,256.0,elu,,47.52024670474873,53.31973433494568,4.675141967023815,True,max_dense
0,5,dense,16.0,swish,,47.52024670474873,53.31973433494568,4.675141967023815,True,max_dense
0,6,dense,256.0,relu,,47.52024670474873,53.31973433494568,4.675141967023815,True,max_dense
0,7,dense,256.0,swish,,47.52024670474873,53.31973433494568,4.675141967023815,True,max_dense
0,8,dense,64.0,relu,,47.52024670474873,53.31973433494568,4.675141967023815,True,max_dense
0,9,dense,16.0,relu,,47.52024670474873,53.31973433494568,4.675141967023815,True,max_dense
0,10,dense,16.0,tanh,,47.52024670474873,53.31973433494568,4.675141967023815,True,max_dense
1,1,dense,8.0,swish,,0.0,,,False,incomplete
1,2,dense,256.0,swish,,0.0,,,False,incomplete
1,3,dense,32.0,selu,,0.0,,,False,incomplete
1,4,dense,256.0,elu,,0.0,,,False,incomplete
1,5,dense,16.0,swish,,0.0,,,False,incomplete
1,6,dense,256.0,relu,,0.0,,,False,incomplete
1,7,dense,256.0,swish,,0.0,,,False,incomplete
1,8,dense,64.0,relu,,0.0,,,False,incomplete
1,9,dense,16.0,relu,,0.0,,,False,incomplete
1,10,dense,16.0,tanh,,0.0,,,False,incomplete
2,1,dense,64.0,swish,,45.8101376105391,53.31973433494568,21.776232909120093,True,max_dense
2,2,dense,16.0,tanh,,45.8101376105391,53.31973433494568,21.776232909120093,True,max_dense
2,3,dense,64.0,swish,,45.8101376105391,53.31973433494568,21.776232909120093,True,max_dense
2,4,batchnorm,,,,45.8101376105391,53.31973433494568,21.776232909120093,True,max_dense
2,5,dense,512.0,selu,,45.8101376105391,53.31973433494568,21.776232909120093,True,max_dense
2,6,dense,512.0,elu,,45.8101376105391,53.31973433494568,21.776232909120093,True,max_dense
2,7,dense,64.0,selu,,45.8101376105391,53.31973433494568,21.776232909120093,True,max_dense
2,8,dropout,,,0.5,45.8101376105391,53.31973433494568,21.776232909120093,True,max_dense
2,9,dense,256.0,selu,,45.8101376105391,53.31973433494568,21.776232909120093,True,max_dense
2,10,dense,512.0,sigmoid,,45.8101376105391,53.31973433494568,21.776232909120093,True,max_dense
2,11,dense,64.0,selu,,45.8101376105391,53.31973433494568,21.776232909120093,True,max_dense
2,12,dense,64.0,sigmoid,,45.8101376105391,53.31973433494568,21.776232909120093,True,max_dense
3,1,dense,64.0,swish,,0.0,,,False,incomplete
3,2,dense,16.0,tanh,,0.0,,,False,incomplete
3,3,dense,64.0,swish,,0.0,,,False,incomplete
3,4,batchnorm,,,,0.0,,,False,incomplete
3,5,dense,512.0,selu,,0.0,,,False,incomplete
3,6,dense,512.0,elu,,0.0,,,False,incomplete
3,7,dense,64.0,selu,,0.0,,,False,incomplete
3,8,dropout,,,0.5,0.0,,,False,incomplete
3,9,dense,256.0,selu,,0.0,,,False,incomplete
3,10,dense,512.0,sigmoid,,0.0,,,False,incomplete
3,11,dense,64.0,selu,,0.0,,,False,incomplete
3,12,dense,64.0,sigmoid,,0.0,,,False,incomplete
